%TIME (h)	SPD(m/s)	TEMP(F)	DEWP(F)	SLP(mb)
370	9	50	47	1001.7
371	5	50	48	1002.5
372	5	50	48	1002.5
373	3	50	48	1003.3
374	7	54	45	1003.6
375	12	53	46	1003.6
376	13	53	45	1003.6
377	14	53	45	1003.6
378	13	52	45	1003.8
379	13	52	45	1003.8
380	10	52	45	1004.1
381	12	50	46	1004.4
382	8	50	47	1004.9
383	9	50	47	1005.4
384	8	50	48	1006
385	7	52	46	1006.8
386	7	52	47	1006.8
387	10	52	48	1007.5
388	10	53	49	1008.1
389	15	57	48	1008.4
390	12	61	47	1008.5
391	12	61	45	1008.7
392	14	63	45	1008.9
393	14	63	44	1008.9
394	13	64	44	1009.3
395	12	54	48	1010.3
396	10	53	47	1011.2
397	10	53	47	1011.9
398	9	52	47	1013
399	7	52	46	1013.9
400	7	51	47	1013.9
401	6	51	47	1014.7
402	6	51	47	1015.3
403	6	51	48	1015.7
404	0	49	48	1016.4
405	5	49	47	1016.8
406	0	46	46	1017.1
407	0	47	46	1017.1
408	6	46	45	1017.5
409	6	47	45	1017.5
410	6	47	45	1017.8
411	6	47	45	1018.7
412	7	46	45	1019.7
413	3	51	48	1020.5
414	3	54	48	1021.2
415	8	55	48	1022
416	8	56	49	1022.7
417	9	57	50	1023.2
418	12	58	50	1023.3
419	12	55	48	1023.6
420	14	54	48	1024
421	14	54	48	1024
422	13	54	48	1024.6
423	13	55	47	1025.1
424	13	54	48	1025.3
425	15	52	49	1026.2
426	14	50	48	1026.6
427	14	48	46	1027.9
428	14	49	47	1027.9
429	12	48	46	1028.6
430	13	48	46	1029.1
431	12	49	46	1029.5
432	13	49	44	1029.3
433	12	49	43	1029.6
434	11	48	43	1029.4
435	12	49	43	1029.4
436	10	48	43	1029.7
437	13	48	42	1030
438	15	48	40	1030.2
439	16	47	42	1030.8
440	14	48	42	1031.3
441	17	46	43	1032
442	17	47	42	1032
443	16	48	43	1032.1
444	18	48	42	1032.2
445	18	48	43	1032.5
446	17	49	43	1032.6
447	22	48	43	1032.7
448	18	48	43	1033.1
449	18	48	42	1033.1
450	18	49	41	1033
451	17	48	41	1032.8
452	18	47	39	1032.2
453	14	45	38	1032.3
454	13	45	38	1032.2
455	11	45	39	1032.5
456	12	45	39	1032.5
457	13	45	39	1032.2
458	14	44	39	1032.2
459	14	44	40	1031.9
460	15	43	40	1031.7
461	15	44	39	1031.5
462	14	45	39	1031.3
463	14	44	39	1031.3
464	13	45	39	1031.1
465	16	44	37	1030.7
466	13	44	37	1031
467	15	44	37	1031
468	13	45	38	1031.7
469	13	45	37	1032.3
470	15	47	38	1032.3
471	13	49	39	1032.5
472	15	49	39	1032.7
473	17	49	39	1032.6
474	16	49	39	1032.2
475	17	48	39	1031.4
476	17	49	40	1031.4
477	15	49	39	1031
478	14	48	37	1030.7
479	10	48	36	1030.6
480	8	48	36	1030.1
481	8	47	36	1029.8
482	7	46	34	1030
483	7	46	34	1030
484	5	44	35	1029.9
485	3	45	35	1029.8
486	0	46	35	1029.3
487	3	45	37	1029.3
488	5	44	30	1029.1
489	6	39	32	1028.9
490	6	40	32	1028.9
491	6	39	33	1028.5
492	6	41	33	1028.4
493	6	41	32	1028.4
494	3	42	30	1028.6
495	6	45	28	1028.5
496	3	50	25	1028.7
497	3	50	24	1028.7
498	0	54	24	1028.8
499	7	54	29	1029.1
500	8	56	23	1029
501	9	58	22	1028.8
502	9	59	18	1028.4
503	9	61	23	1028.1
504	9	61	23	1028.1
505	9	61	25	1027.5
506	8	62	28	1027.2
507	6	63	32	1026.9
508	6	62	34	1026.6
509	5	62	39	1026.3
510	5	57	37	1026.3
511	5	58	38	1026.3
512	0	59	33	1026.2
513	7	59	35	1026.1
514	7	57	39	1026.1
515	5	57	40	1026.2
516	6	53	40	1026.2
517	0	55	39	1026.3
518	0	56	40	1026.3
519	7	55	39	1026.2
520	9	54	38	1026.2
521	9	54	37	1026.2
522	7	53	38	1026.4
523	3	57	39	1026.6
524	6	63	39	1027.1
525	6	62	40	1027.1
526	3	68	41	1027.6
527	3	74	41	1027.5
528	7	72	45	1027.7
529	10	72	39	1027.2
530	13	72	39	1026.9
531	11	70	45	1026.5
532	12	70	44	1026.5
533	12	70	43	1026.1
534	12	64	48	1025.8
535	9	67	49	1025.5
536	8	67	48	1025.3
537	9	63	48	1025.2
538	6	61	48	1025.5
539	6	61	48	1025.5
540	7	61	44	1025.7
541	10	62	43	1026
542	6	60	40	1026
543	3	57	46	1026
544	6	56	46	1025.7
545	6	55	46	1025.4
546	6	55	46	1025.4
547	5	53	44	1025.3
548	3	53	43	1024.9
549	5	53	44	1024.9
550	7	52	43	1025.1
551	6	57	42	1025.1
552	7	63	43	1025.1
553	7	63	42	1025.1
554	5	67	42	1025.1
555	3	73	42	1024.3
556	9	76	47	1024
557	8	76	47	1024
558	8	79	44	1023.6
559	9	80	45	1022.9
560	13	79	46	1022.3
561	13	79	46	1022.3
562	12	78	47	1021.6
563	10	79	43	1020.8
564	17	77	39	1020.7
565	17	74	40	1020.5
566	14	71	40	1020.3
567	13	70	43	1020
568	13	69	42	1020
569	12	65	42	1020.2
570	10	64	41	1020.3
571	13	63	38	1020.2
572	9	62	37	1020
573	14	61	37	1019.8
574	11	59	37	1019.6
575	12	59	38	1019.6
576	8	56	40	1019.4
577	10	56	40	1019
578	12	55	41	1018.4
579	13	56	41	1018.2
580	10	59	41	1018.4
581	11	63	41	1018.7
582	12	62	41	1018.7
583	14	63	42	1019
584	9	64	44	1018.9
585	12	70	49	1018.8
586	12	68	49	1019
587	14	63	55	1019.5
588	13	61	57	1019.6
589	13	60	57	1019.6
590	8	61	58	1019.8
591	8	61	58	1020
592	6	62	59	1020.2
593	7	62	58	1020.3
594	12	61	58	1021
595	13	57	55	1021.4
596	13	58	55	1021.4
597	10	57	53	1022.2
598	9	57	52	1023
599	12	56	52	1023.1
600	6	56	51	1023.2
601	6	56	50	1023.5
602	6	55	50	1023.6
603	6	55	50	1023.6
604	13	56	50	1024
605	9	56	48	1024.1
606	14	54	46	1024.6
607	12	54	47	1025.2
608	13	55	42	1025.7
609	15	55	41	1026.1
610	15	55	41	1026.1
611	16	55	40	1026.4
612	13	55	40	1026.9
613	14	55	40	1026.8
614	12	55	39	1026.8
615	15	55	39	1027
616	14	54	39	1027
617	14	54	40	1027
618	14	53	41	1027
619	14	52	43	1026.9
620	9	51	45	1027.1
621	12	51	46	1027.4
622	13	50	46	1026.9
623	13	50	45	1026.8
624	13	50	45	1026.8
625	13	50	46	1026.8
626	13	50	47	1027.1
627	10	50	48	1027.2
628	12	49	48	1027
629	12	49	48	1026.4
630	11	49	48	1026
631	12	49	48	1025.8
632	9	49	48	1025.6
633	14	49	48	1025.3
634	13	49	48	1025.4
635	10	48	48	1026
636	12	49	48	1025.9
637	15	48	48	1025.8
638	15	49	49	1025.8
639	14	50	49	1025.8
640	12	50	49	1025.7
641	12	50	50	1025.8
642	11	50	50	1025.6
643	12	51	50	1025.7
644	12	51	50	1025.7
645	15	50	50	1025.7
646	15	50	50	1025.7
647	15	50	50	1025.4
648	15	51	50	1024.8
649	14	50	50	1024.8
650	15	49	49	1024.8
651	14	49	48	1024.7
652	14	48	48	1024.9
653	14	48	48	1024.9
654	13	48	47	1024.8
655	13	47	47	1024.7
656	12	47	47	1024.4
657	14	47	46	1024
658	13	47	46	1023.7
659	13	46	45	1023.1
660	13	46	45	1023.1
661	10	46	46	1022.9
662	12	46	46	1022.7
663	10	46	46	1022.4
664	13	46	46	1022.2
665	14	46	46	1022.1
666	13	46	46	1022.1
667	13	46	46	1022.1
668	15	47	46	1022.1
669	14	47	46	1021.9
670	14	48	47	1021.5
671	14	48	46	1021.7
672	10	48	47	1021.5
673	11	48	46	1021.1
674	12	48	47	1021.1
675	13	48	47	1020.4
676	15	49	47	1019.6
677	16	48	46	1019.1
678	15	47	46	1019.2
679	15	47	46	1018.8
680	16	46	46	1018
681	16	47	46	1018
682	16	47	47	1017.8
683	16	47	47	1017.5
684	17	47	47	1016.8
685	17	47	46	1016
686	16	47	47	1015.6
687	19	46	46	1014.9
688	20	47	47	1014.9
689	18	47	46	1014.8
690	15	47	46	1014.7
691	18	47	47	1015
692	12	48	47	1016
693	9	49	48	1016.9
694	9	50	48	1017
695	9	50	49	1017
696	7	51	49	1017.6
697	10	53	50	1017.7
698	12	54	51	1018.1
699	14	54	51	1018.2
700	9	55	51	1018.6
701	8	54	52	1018.6
702	8	54	51	1018.6
703	7	53	51	1018.3
704	7	54	50	1018.7
705	6	54	50	1018.7
706	6	54	51	1018.7
707	6	55	51	1018.9
708	5	55	51	1018.8
709	3	55	50	1019.5
710	3	55	50	1019.5
711	6	55	50	1019.8
712	5	55	51	1020
713	5	55	51	1019.9
714	5	55	51	1019.8
715	6	54	51	1019.5
716	3	54	52	1019.1
717	3	54	51	1019.1
718	0	54	51	1018.9
719	3	53	52	1018.8
720	6	52	51	1018.5
721	5	52	51	1019
722	6	52	51	1019.4
723	7	52	52	1019.1
724	7	52	51	1019.1
725	6	52	51	1019.7
726	5	52	51	1019.5
727	8	52	51	1018.9
728	12	51	50	1019.9
729	14	50	50	1019.3
730	17	50	50	1018.3
731	17	50	50	1018.3
732	15	50	49	1016.9
733	10	49	48	1017.7
734	15	47	47	1017.2
735	12	47	47	1016.7
736	18	48	47	1015.4
737	21	46	46	1015.4
738	21	47	47	1015.4
739	17	47	47	1015.6
740	13	48	47	1016.1
741	10	49	48	1015.8
742	13	48	47	1015.6
743	12	48	47	1015.6
744	14	48	48	1015
745	14	48	48	1015
746	13	49	48	1014.8
747	14	49	49	1015.1
748	10	50	49	1015.4
749	14	50	49	1015.8
750	12	50	49	1016.4
751	13	52	50	1016.6
752	13	51	50	1016.6
753	12	52	50	1017.2
754	9	53	51	1017.7
755	12	54	51	1017.3
756	10	54	51	1017.5
757	8	54	51	1017.1
758	9	54	52	1016.7
759	9	54	51	1016.7
760	7	56	51	1016.4
761	9	55	51	1016.4
762	9	55	51	1016.4
763	9	56	50	1016.3
764	7	57	51	1015.7
765	6	54	50	1015.5
766	5	55	50	1015.1
767	5	55	50	1015.1
768	0	54	50	1015.4
769	3	55	51	1015.4
770	0	53	51	1014.7
771	0	54	52	1014.2
772	6	55	53	1013.6
773	9	55	54	1013
774	9	56	53	1013
775	7	56	53	1012.6
776	5	55	52	1011.9
777	8	55	52	1011.5
778	7	55	52	1011.2
779	7	56	53	1011
780	6	57	54	1010.5
781	6	58	54	1010.5
782	7	61	55	1010.1
783	5	62	57	1009.5
784	3	64	56	1008.7
785	8	62	57	1008
786	12	62	57	1007.2
787	13	61	55	1006.3
788	13	61	56	1006.3
789	12	60	57	1005.5
790	12	59	57	1004.7
791	10	58	57	1004.3
792	9	59	57	1004.4
793	12	57	55	1004.4
794	11	57	55	1004.3
795	12	58	56	1004.3
796	10	59	57	1003.7
797	10	57	56	1003.5
798	12	57	54	1003.1
799	10	56	54	1002.6
800	12	55	53	1002
801	9	54	54	1001.8
802	9	54	53	1001.8
803	10	55	53	1001.4
804	7	53	53	1001.3
805	10	55	53	1001.1
806	12	55	53	1001.2
807	13	58	53	1001.4
808	13	61	54	1001.2
809	13	60	54	1001.2
810	12	63	55	1001.3
811	13	65	55	1001
812	14	67	55	1001
813	13	69	56	1000.6
814	14	72	55	1000.2
815	17	73	54	999.8
816	17	73	53	999.8
817	15	73	53	999.4
818	14	72	53	999.4
819	9	72	53	999.4
820	9	74	54	999.1
821	16	73	52	999.2
822	10	72	52	999.6
823	13	72	52	1000.1
824	13	72	51	1000.1
825	14	69	53	1000.7
826	14	66	54	1001.5
827	10	62	55	1001.4
828	10	63	54	1001.1
829	8	62	54	1000.5
830	9	61	54	1000.1
831	9	60	53	1000.1
832	6	58	53	999.8
833	8	57	53	999.8
834	8	56	53	999.8
835	7	57	53	1000.1
836	5	57	54	1000.2
837	8	61	54	1000.5
838	8	60	54	1000.5
839	6	63	55	1000.7
840	5	65	56	1000.5
841	7	68	56	1000.4
842	0	71	57	1000
843	10	68	58	999.7
844	10	68	61	999.5
845	10	68	60	999.5
846	9	69	59	999.2
847	8	70	58	999.1
848	7	70	58	999.1
849	7	74	60	999
850	6	71	58	999.2
851	3	66	56	999.8
852	5	70	57	1000.6
853	5	70	58	1000.6
854	5	69	56	1000.9
855	6	69	54	1002
856	9	67	53	1002.3
857	9	65	54	1002.4
858	12	63	55	1003
859	8	61	55	1003
860	8	61	55	1003
861	8	61	54	1003.1
862	8	60	54	1003.7
863	6	59	54	1003.9
864	7	59	54	1004.4
865	7	61	54	1004.9
866	6	64	54	1005
867	6	64	53	1005
868	6	64	52	1005.1
869	5	65	53	1004.9
870	7	66	54	1004.7
871	5	68	53	1004.6
872	13	68	56	1004.4
873	14	63	54	1004.3
874	14	63	53	1004.3
875	10	61	53	1004.4
876	13	62	52	1004.5
877	12	59	54	1003.8
878	6	59	55	1003.7
879	9	58	56	1003.7
880	6	57	55	1003.7
881	6	57	56	1003.7
882	6	58	57	1004.3
883	9	58	58	1004
884	6	56	56	1003.3
885	9	56	56	1002.9
886	7	56	56	1003
887	9	56	56	1001.9
888	9	56	56	1001.9
889	14	56	56	1000.5
890	16	56	56	1000.2
891	11	56	56	1000.3
892	9	56	56	999.7
893	18	54	54	998
894	23	54	54	996.8
895	23	54	54	996.8
896	23	55	55	995.4
897	21	54	54	994.9
898	21	54	54	994.5
899	23	54	54	993.8
900	23	55	54	993.5
901	23	55	54	993.5
902	17	57	55	993.4
903	16	59	57	993.3
904	17	61	57	994
905	17	61	57	994.4
906	16	61	57	995.2
907	17	61	55	996
908	17	61	56	996
909	17	61	55	997.3
910	16	59	54	998.6
911	17	57	50	999.5
912	16	55	48	1000.3
913	14	54	48	1001.3
914	15	54	47	1001.6
915	16	54	41	1002
916	16	54	39	1002.7
917	18	52	39	1003.4
918	11	52	39	1004.5
919	11	52	39	1005.3
920	15	55	39	1006
921	15	55	40	1006
922	18	57	39	1006.5
923	18	63	37	1007.1
924	21	64	37	1007.5
925	22	66	39	1007.6
926	19	68	39	1007.4
927	11	70	43	1007.2
928	11	69	42	1007.2
929	21	70	39	1007.2
930	17	72	39	1006.9
931	18	72	39	1006.9
932	15	72	39	1006.9
933	17	70	41	1007.2
934	11	68	43	1008.2
935	11	68	43	1008.2
936	10	66	43	1009.1
937	14	64	43	1010.3
938	10	64	43	1011.4
939	9	63	43	1011.8
940	8	61	41	1012.5
941	9	59	39	1012.8
942	9	59	39	1012.8
943	7	55	39	1013.5
944	10	54	41	1014.4
945	9	54	37	1015.3
946	9	57	37	1015.9
947	11	61	36	1016
948	11	61	36	1016
949	10	64	36	1015.9
950	9	66	36	1015.5
951	8	66	36	1015.6
952	11	70	34	1015
953	15	72	37	1014.4
954	16	72	37	1014
955	10	72	36	1013.4
956	14	72	36	1012.9
957	14	72	36	1012.9
958	17	72	39	1012.9
959	16	72	37	1013.4
960	10	70	39	1013.5
961	10	70	40	1013.5
962	9	68	45	1013.7
963	15	66	50	1014.5
964	14	64	50	1015.2
965	13	63	52	1015.7
966	14	63	52	1016
967	13	61	52	1016
968	13	61	51	1016
969	8	59	52	1016.1
970	7	59	52	1015.7
971	9	59	52	1016
972	9	59	52	1016.5
973	6	57	52	1016.6
974	8	57	54	1016.7
975	8	58	54	1016.7
976	7	61	55	1016.9
977	8	63	55	1016.7
978	8	61	55	1016.9
979	7	61	55	1016.6
980	9	61	57	1016.5
981	10	59	54	1016.3
982	10	59	53	1016.3
983	8	57	54	1016
984	9	55	54	1015.6
985	10	55	54	1015
986	11	55	55	1014.2
987	13	55	54	1014.3
988	13	54	54	1014
989	13	54	54	1014
990	11	54	54	1013.9
991	13	54	54	1014
992	10	54	54	1013.6
993	13	54	54	1012.8
994	13	54	54	1012
995	9	54	54	1011.5
996	9	54	54	1010.6
997	9	53	53	1010.6
998	7	54	54	1009.6
999	9	54	54	1009.3
1000	7	54	54	1009.5
1001	8	54	54	1009.5
1002	7	55	55	1009.1
1003	8	55	55	1009.2
1004	8	55	55	1009.2
1005	9	55	55	1009.1
1006	7	55	55	1008.7
1007	6	57	57	1008.7
1008	6	57	57	1008.4
1009	3	59	57	1008.3
1010	0	59	57	1007.3
1011	0	59	58	1007.3
1012	0	59	57	1007.1
1013	8	57	57	1007
1014	6	55	55	1006.8
1015	5	55	55	1006.8
1016	5	55	55	1006.5
1017	5	55	55	1006.3
1018	5	55	55	1006.3
1019	5	57	57	1006.2
1020	10	61	61	1006.6
1021	10	61	59	1006.3
1022	10	61	59	1006
1023	16	61	57	1006.2
1024	16	61	58	1006.2
1025	15	61	55	1007
1026	10	59	55	1007
1027	16	59	54	1007.7
1028	15	59	54	1008.3
1029	13	61	54	1009
1030	15	63	55	1009.6
1031	15	63	55	1009.6
1032	16	66	55	1009.7
1033	16	70	55	1010.3
1034	16	73	55	1010.7
1035	14	75	55	1011.2
1036	13	75	55	1011.5
1037	6	77	54	1011.6
1038	6	77	54	1011.6
1039	10	79	55	1011.6
1040	8	79	55	1011.7
1041	7	79	54	1012.3
1042	7	81	54	1012.4
1043	8	79	54	1013
1044	6	77	54	1013.7
1045	6	77	54	1013.7
1046	7	73	55	1014.1
1047	9	70	57	1014.7
1048	8	68	57	1015.5
1049	11	70	57	1015.8
1050	7	66	57	1015.7
1051	5	63	57	1015.9
1052	5	63	58	1015.9
1053	7	63	57	1015.7
1054	7	61	57	1015.5
1055	6	61	57	1016
1056	5	61	57	1016.3
1057	8	63	57	1016.7
1058	6	66	59	1016.4
1059	6	66	59	1016.4
1060	8	66	61	1016.2
1061	9	66	61	1016.5
1062	7	64	63	1015.4
1063	8	66	63	1016
1064	6	66	63	1015.6
1065	3	66	63	1015.2
1066	3	66	63	1015.2
1067	7	64	63	1015.4
1068	6	64	63	1015.1
1069	7	66	63	1015.2
1070	3	63	61	1014.6
1071	5	61	61	1013.7
1072	3	61	61	1013
1073	6	59	59	1012.9
1074	6	59	59	1012.9
1075	5	59	59	1012.8
1076	6	59	59	1012.2
1077	6	59	59	1012.1
1078	5	59	59	1011.6
1079	7	59	59	1011.4
1080	5	57	57	1011.3
1081	5	58	58	1011.3
1082	6	57	57	1010.6
1083	6	57	57	1010.4
1084	8	57	57	1010.8
1085	8	57	57	1011.4
1086	5	57	57	1012.1
1087	8	57	57	1012.2
1088	8	56	56	1012.2
